Run 1
0, 100000000, 0, 1, 0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
7.3821, 33990.0, 1, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
97.80248399999999, 8230.0, 1, 1, 60.0, c1='2.1', c2='2.05', iter='10', rad='3', step='0.5'
123.99264299999999, 2415.0, 1, 1, 60.0, c1='2.15', c2='2.15', iter='12', rad='3', step='0.5'
281.48579099999995, 1146.0, 1, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
282.80085699999995, 1277.5, 2, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
323.95316099999997, 133340518.66666667, 3, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
325.219116, 100005671.25, 4, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
340.74666099999996, 80030383.8, 5, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
834.5933769999999, 66692187.666666664, 6, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
878.2022139999999, 114310446.71428572, 7, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
920.6807759999999, 150022516.0, 8, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
961.6875729999999, 177800125.44444445, 9, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
963.316485, 160020470.0, 10, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1008.373036, 181838427.36363637, 11, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1009.839693, 166685462.75, 12, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1054.46217, 184633196.46153846, 13, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1055.852379, 171445240.0, 14, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1098.324695, 186683557.4, 15, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1099.635009, 175015900.0, 16, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1101.602497, 164720978.3529412, 17, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1106.543476, 155571855.44444445, 18, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1166.543476, 147399097.21057433, 19, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1212.522755, 160029392.4000456, 20, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1213.881339, 152409049.52385297, 21, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1215.169321, 145481414.04549602, 22, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1259.5024070000002, 156548048.26090923, 23, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
1259.5024070000002, 156548048.26090923, 23, 1, 60.0, c1='2.15', c2='2.15', iter='8', rad='3', step='0.5'
3108.446144, 69593715.60873528, 23, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3148.64146, 83361269.16670464, 24, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3150.047596, 80026890.00003645, 25, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3156.732916, 76951082.11541966, 26, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3159.057034, 74101455.37040412, 27, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3160.426026, 71455069.6428897, 28, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3201.99278, 82784722.44830729, 29, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3203.323534, 80025279.36669704, 30, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3204.975875, 77443899.70970681, 31, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3206.959221, 75024045.65627848, 32, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3248.162945, 84871801.87881549, 33, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3249.599409, 82375636.23532093, 34, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3250.844125, 80022080.48574032, 35, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3263.158305, 77802398.66669197, 36, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3265.333131, 75699946.6757003, 37, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3307.246615, 84234421.78949766, 38, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
3307.246615, 84234421.78949766, 38, 2, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6568.892799999997, 82075502.38463876, 39, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6574.032852999997, 80023877.20002279, 40, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6575.403126999997, 78072122.87807101, 41, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6617.0817899999965, 85737310.45240265, 42, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6618.488373999997, 83743475.32560259, 43, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6620.857071999997, 81840458.04547526, 44, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6662.643067999997, 88910892.33335358, 45, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6704.721200999997, 95673699.04349808, 46, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6764.721200999997, 93644209.17025167, 47, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6776.493741999997, 91695574.81253809, 48, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6819.9894369999965, 97987603.91840465, 49, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6822.369431999997, 96027970.64003657, 50, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6823.893922999997, 94145136.41180055, 51, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6825.300131999997, 92334691.096189, 52, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6827.086973999997, 90592642.96229865, 53, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6828.993309999997, 88915125.03707089, 54, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6830.303347999997, 87298516.30912414, 55, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6871.655324999997, 92882649.96431836, 56, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6878.181636999997, 91253589.70178646, 57, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6919.6949529999965, 96576803.68968669, 58, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
6919.6949529999965, 96576803.68968669, 58, 6, 60.0, c1='2.05', c2='2.1', iter='5', rad='2', step='0.5'
8591.437968999991, 69002550.86210045, 58, 7, 60.0, c1='2.15', c2='2.025', iter='5', rad='1', step='0.8'
8591.437968999991, 69002550.86210045, 58, 7, 60.0, c1='2.15', c2='2.025', iter='5', rad='1', step='0.8'
10849.373877999997, 69002550.86210045, 58, 10, 60.0, c1='2.15', c2='2.025', iter='5', rad='1', step='0.8'
