Run 4
0, 100000000, 0, 1, 0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
1.664336, 1.664336, 1, 1, 60.0, c1='2.05', c2='2.05', iter='5', rad='1', step='1.0'
4.904031, 1.509676, 1, 1, 60.0, c1='2.1', c2='2.075', iter='10', rad='1', step='0.5'
213.37154399999997, 1.440757, 1, 1, 60.0, c1='2.15', c2='2.075', iter='10', rad='1', step='0.5'
273.371544, 300.7254285, 2, 1, 60.0, c1='2.15', c2='2.075', iter='10', rad='1', step='0.5'
336.25475599999993, 300.70315800000003, 2, 1, 60.0, c1='2.15', c2='2.075', iter='10', rad='1', step='1.0'
337.7469709999999, 200.96617700000002, 3, 1, 60.0, c1='2.15', c2='2.075', iter='10', rad='1', step='1.0'
397.7469709999999, 300.72465775, 4, 1, 60.0, c1='2.15', c2='2.075', iter='10', rad='1', step='1.0'
520.4870829999999, 300.68757800000003, 4, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
522.4256019999999, 240.93776620000003, 5, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
686.5900220000001, 201.12092283333337, 6, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
688.8740730000001, 172.71565542857147, 7, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
705.9940750000001, 153.26619875000006, 8, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
709.885068, 136.6689536666667, 9, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
713.2816320000001, 123.34171470000004, 10, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
714.7028740000001, 112.25803536363638, 11, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
722.6980380000001, 103.56946275000001, 12, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
725.1795540000002, 95.79346684615386, 13, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
785.1795540000002, 131.80894064285715, 14, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
786.5623930000002, 123.11386720000002, 15, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
787.8830390000002, 115.50179087500001, 16, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
847.8830390000002, 144.0022268099353, 17, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
907.8830390000002, 169.33544198716112, 18, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
909.3324950000002, 160.49933746152107, 19, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
910.6608270000003, 152.540787188445, 20, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
913.3039520000003, 145.40280327470953, 21, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
914.7580980000004, 138.85968248949547, 22, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
974.7580980000004, 158.9097006421261, 23, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
977.3016930000003, 152.39444624037085, 24, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
979.1841660000003, 146.37396731075603, 25, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
980.7305320000004, 140.80367495265003, 26, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
1009.4745100000004, 136.65331580625556, 27, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
1012.0137160000004, 131.86352617031787, 28, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
1013.7268160000004, 127.3755804403069, 29, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
1013.7268160000004, 127.3755804403069, 29, 1, 60.0, c1='2.15', c2='2.05', iter='10', rad='1', step='1.0'
2547.7417869999986, 87.64061754846553, 29, 2, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
2547.7417869999986, 87.64061754846553, 29, 2, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
3752.836013999999, 84.80971573018334, 30, 3, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
3774.374951999999, 82.71513948082259, 31, 3, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
3836.4832179999994, 80.19617468454689, 32, 3, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
3848.046279999999, 78.07291560319698, 33, 3, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
3913.381917999999, 75.9335839089853, 34, 3, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
3917.9421559999987, 73.82351262587143, 35, 3, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
3922.6549809999988, 71.861665497375, 36, 3, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
3984.5175979999985, 86.13594751095947, 37, 3, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
4046.4078909999985, 83.91895660277632, 38, 3, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
4050.2880249999985, 81.82888858732052, 39, 3, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
4063.2724219999986, 80.05782922263751, 40, 3, 60.0, c1='2.025', c2='2.05', iter='12', rad='3', step='0.8'
5367.219068999999, 63.7529221, 40, 4, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
5367.219068999999, 63.7529221, 40, 4, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
5472.583874999998, 63.26890887804878, 41, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6508.831189999998, 62.10829202380952, 42, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6510.392956999998, 60.700233302325586, 43, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6512.363735999998, 59.36547297727273, 44, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6514.960604999998, 58.10394844444445, 45, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6516.358635999998, 56.87121110869566, 46, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6517.832516999998, 55.69254451063831, 47, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6520.715791999998, 54.59235139583334, 48, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6580.715791999998, 65.7233077788694, 49, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6582.622559999998, 64.446976983292, 50, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6597.699039999998, 63.478928022835305, 51, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6599.559022999998, 62.2939483108577, 52, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6601.156506999998, 61.148732003105664, 53, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6602.925276999998, 60.049103077122226, 54, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6604.368435999998, 58.98354045753819, 55, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6664.368435999998, 68.64472902079643, 56, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6665.768113999998, 67.46499128358948, 57, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6667.3269409999975, 66.32867810628622, 58, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6684.743886999998, 65.49966569770508, 59, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6686.181173999998, 64.43195938607667, 60, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
6746.181173999998, 73.21192890433771, 61, 5, 60.0, c1='2.125', c2='2.125', iter='10', rad='2', step='0.5'
